Id,Credit Default
7500,0
7501,1
7502,1
7503,0
7504,0
7505,0
7506,0
7507,0
7508,0
7509,0
7510,0
7511,1
7512,1
7513,0
7514,0
7515,0
7516,0
7517,0
7518,0
7519,0
7520,0
7521,0
7522,0
7523,0
7524,0
7525,0
7526,1
7527,0
7528,1
7529,0
7530,0
7531,0
7532,0
7533,0
7534,0
7535,0
7536,0
7537,0
7538,1
7539,0
7540,1
7541,1
7542,1
7543,0
7544,1
7545,0
7546,0
7547,1
7548,0
7549,0
7550,0
7551,0
7552,0
7553,1
7554,1
7555,0
7556,1
7557,0
7558,1
7559,0
7560,1
7561,0
7562,0
7563,0
7564,0
7565,0
7566,0
7567,0
7568,0
7569,0
7570,0
7571,0
7572,0
7573,0
7574,1
7575,0
7576,0
7577,0
7578,0
7579,0
7580,1
7581,0
7582,0
7583,0
7584,0
7585,0
7586,1
7587,1
7588,0
7589,0
7590,0
7591,0
7592,0
7593,1
7594,1
7595,1
7596,0
7597,0
7598,0
7599,0
7600,1
7601,0
7602,0
7603,0
7604,0
7605,0
7606,1
7607,1
7608,0
7609,0
7610,0
7611,0
7612,0
7613,0
7614,0
7615,1
7616,1
7617,0
7618,0
7619,1
7620,0
7621,0
7622,0
7623,0
7624,1
7625,0
7626,1
7627,0
7628,0
7629,0
7630,0
7631,0
7632,1
7633,0
7634,1
7635,0
7636,0
7637,0
7638,0
7639,1
7640,0
7641,0
7642,0
7643,0
7644,1
7645,0
7646,0
7647,0
7648,0
7649,1
7650,0
7651,0
7652,1
7653,0
7654,1
7655,0
7656,0
7657,1
7658,0
7659,0
7660,0
7661,0
7662,0
7663,0
7664,1
7665,0
7666,0
7667,0
7668,0
7669,1
7670,0
7671,0
7672,0
7673,1
7674,1
7675,0
7676,1
7677,0
7678,0
7679,0
7680,0
7681,0
7682,0
7683,0
7684,0
7685,0
7686,0
7687,0
7688,0
7689,0
7690,1
7691,0
7692,0
7693,0
7694,0
7695,0
7696,0
7697,1
7698,0
7699,0
7700,0
7701,0
7702,0
7703,0
7704,0
7705,0
7706,0
7707,1
7708,1
7709,0
7710,0
7711,0
7712,1
7713,1
7714,0
7715,0
7716,1
7717,1
7718,0
7719,1
7720,0
7721,1
7722,0
7723,0
7724,1
7725,0
7726,1
7727,1
7728,0
7729,0
7730,1
7731,0
7732,0
7733,0
7734,0
7735,0
7736,0
7737,0
7738,0
7739,1
7740,0
7741,0
7742,1
7743,0
7744,0
7745,0
7746,1
7747,0
7748,1
7749,0
7750,0
7751,0
7752,0
7753,0
7754,0
7755,1
7756,0
7757,0
7758,0
7759,0
7760,0
7761,0
7762,0
7763,1
7764,0
7765,1
7766,0
7767,1
7768,0
7769,0
7770,0
7771,1
7772,0
7773,0
7774,0
7775,0
7776,1
7777,0
7778,0
7779,0
7780,0
7781,0
7782,0
7783,0
7784,0
7785,0
7786,0
7787,0
7788,0
7789,0
7790,0
7791,0
7792,0
7793,0
7794,0
7795,1
7796,0
7797,1
7798,0
7799,0
7800,0
7801,0
7802,1
7803,0
7804,0
7805,1
7806,0
7807,0
7808,0
7809,0
7810,0
7811,0
7812,0
7813,0
7814,0
7815,1
7816,0
7817,0
7818,0
7819,1
7820,0
7821,0
7822,1
7823,0
7824,0
7825,0
7826,0
7827,1
7828,0
7829,1
7830,0
7831,0
7832,0
7833,0
7834,0
7835,0
7836,0
7837,0
7838,0
7839,0
7840,0
7841,0
7842,0
7843,0
7844,1
7845,1
7846,0
7847,1
7848,0
7849,0
7850,0
7851,0
7852,0
7853,0
7854,0
7855,0
7856,0
7857,0
7858,1
7859,1
7860,1
7861,0
7862,0
7863,0
7864,0
7865,0
7866,1
7867,1
7868,0
7869,0
7870,0
7871,0
7872,0
7873,0
7874,0
7875,0
7876,0
7877,0
7878,0
7879,1
7880,1
7881,1
7882,0
7883,0
7884,1
7885,0
7886,0
7887,0
7888,0
7889,0
7890,0
7891,0
7892,1
7893,0
7894,0
7895,0
7896,0
7897,0
7898,1
7899,0
7900,0
7901,1
7902,0
7903,0
7904,0
7905,0
7906,0
7907,0
7908,0
7909,0
7910,0
7911,0
7912,0
7913,1
7914,0
7915,0
7916,0
7917,0
7918,0
7919,0
7920,0
7921,0
7922,0
7923,0
7924,0
7925,0
7926,0
7927,1
7928,0
7929,1
7930,0
7931,0
7932,0
7933,0
7934,0
7935,0
7936,0
7937,1
7938,0
7939,0
7940,0
7941,1
7942,0
7943,0
7944,1
7945,0
7946,0
7947,0
7948,1
7949,0
7950,0
7951,0
7952,0
7953,0
7954,0
7955,0
7956,0
7957,0
7958,1
7959,0
7960,0
7961,1
7962,0
7963,0
7964,0
7965,0
7966,0
7967,0
7968,0
7969,1
7970,1
7971,0
7972,0
7973,1
7974,1
7975,0
7976,0
7977,1
7978,0
7979,0
7980,0
7981,0
7982,1
7983,1
7984,0
7985,0
7986,0
7987,0
7988,0
7989,0
7990,0
7991,0
7992,1
7993,1
7994,1
7995,1
7996,0
7997,0
7998,0
7999,0
8000,0
8001,0
8002,0
8003,0
8004,0
8005,0
8006,0
8007,1
8008,0
8009,1
8010,0
8011,0
8012,1
8013,0
8014,1
8015,1
8016,0
8017,0
8018,0
8019,0
8020,0
8021,0
8022,0
8023,0
8024,0
8025,1
8026,0
8027,0
8028,1
8029,1
8030,0
8031,1
8032,1
8033,0
8034,0
8035,0
8036,0
8037,0
8038,0
8039,0
8040,0
8041,0
8042,0
8043,0
8044,1
8045,0
8046,1
8047,0
8048,0
8049,0
8050,0
8051,0
8052,1
8053,0
8054,1
8055,0
8056,0
8057,0
8058,0
8059,1
8060,0
8061,0
8062,0
8063,0
8064,0
8065,0
8066,0
8067,0
8068,0
8069,0
8070,1
8071,0
8072,0
8073,1
8074,1
8075,0
8076,0
8077,0
8078,0
8079,0
8080,1
8081,0
8082,0
8083,0
8084,0
8085,1
8086,1
8087,0
8088,0
8089,1
8090,0
8091,0
8092,1
8093,0
8094,0
8095,1
8096,0
8097,0
8098,0
8099,0
8100,1
8101,0
8102,0
8103,0
8104,1
8105,1
8106,0
8107,0
8108,0
8109,0
8110,1
8111,1
8112,0
8113,0
8114,0
8115,0
8116,0
8117,1
8118,1
8119,0
8120,0
8121,0
8122,0
8123,1
8124,0
8125,0
8126,0
8127,0
8128,1
8129,0
8130,1
8131,0
8132,0
8133,1
8134,0
8135,0
8136,1
8137,0
8138,0
8139,0
8140,0
8141,0
8142,0
8143,0
8144,1
8145,1
8146,0
8147,0
8148,0
8149,1
8150,1
8151,0
8152,0
8153,0
8154,0
8155,0
8156,0
8157,1
8158,0
8159,1
8160,0
8161,0
8162,0
8163,0
8164,1
8165,0
8166,1
8167,1
8168,0
8169,0
8170,1
8171,0
8172,1
8173,0
8174,0
8175,1
8176,0
8177,0
8178,0
8179,0
8180,1
8181,1
8182,0
8183,0
8184,0
8185,0
8186,0
8187,0
8188,1
8189,0
8190,0
8191,0
8192,1
8193,0
8194,0
8195,0
8196,1
8197,0
8198,1
8199,0
8200,0
8201,0
8202,0
8203,1
8204,1
8205,0
8206,0
8207,0
8208,0
8209,0
8210,0
8211,0
8212,1
8213,1
8214,1
8215,0
8216,0
8217,0
8218,0
8219,0
8220,1
8221,0
8222,0
8223,1
8224,0
8225,0
8226,1
8227,0
8228,0
8229,0
8230,0
8231,1
8232,0
8233,0
8234,1
8235,0
8236,1
8237,0
8238,0
8239,0
8240,0
8241,0
8242,0
8243,0
8244,0
8245,0
8246,1
8247,0
8248,0
8249,0
8250,1
8251,0
8252,0
8253,1
8254,0
8255,0
8256,0
8257,1
8258,1
8259,1
8260,0
8261,0
8262,1
8263,0
8264,0
8265,0
8266,0
8267,1
8268,0
8269,0
8270,0
8271,0
8272,0
8273,0
8274,0
8275,0
8276,0
8277,0
8278,0
8279,0
8280,0
8281,1
8282,0
8283,0
8284,0
8285,0
8286,1
8287,1
8288,1
8289,0
8290,0
8291,0
8292,1
8293,0
8294,0
8295,1
8296,0
8297,0
8298,0
8299,0
8300,0
8301,0
8302,1
8303,1
8304,0
8305,0
8306,0
8307,0
8308,0
8309,0
8310,0
8311,0
8312,0
8313,0
8314,1
8315,0
8316,0
8317,1
8318,0
8319,0
8320,0
8321,0
8322,0
8323,0
8324,1
8325,0
8326,0
8327,0
8328,0
8329,0
8330,0
8331,1
8332,0
8333,0
8334,0
8335,0
8336,0
8337,0
8338,0
8339,0
8340,0
8341,0
8342,0
8343,1
8344,0
8345,0
8346,0
8347,0
8348,0
8349,0
8350,1
8351,1
8352,0
8353,0
8354,0
8355,0
8356,1
8357,0
8358,0
8359,1
8360,0
8361,0
8362,0
8363,0
8364,0
8365,0
8366,0
8367,0
8368,1
8369,0
8370,0
8371,1
8372,0
8373,0
8374,0
8375,1
8376,0
8377,0
8378,0
8379,0
8380,0
8381,1
8382,1
8383,0
8384,0
8385,1
8386,0
8387,0
8388,0
8389,0
8390,0
8391,0
8392,1
8393,0
8394,0
8395,0
8396,0
8397,0
8398,0
8399,0
8400,0
8401,1
8402,0
8403,0
8404,0
8405,0
8406,1
8407,0
8408,0
8409,1
8410,0
8411,1
8412,0
8413,0
8414,1
8415,0
8416,0
8417,0
8418,0
8419,1
8420,1
8421,1
8422,0
8423,1
8424,1
8425,0
8426,1
8427,0
8428,0
8429,1
8430,0
8431,0
8432,0
8433,0
8434,0
8435,0
8436,0
8437,0
8438,1
8439,1
8440,1
8441,0
8442,1
8443,0
8444,0
8445,0
8446,0
8447,0
8448,0
8449,0
8450,0
8451,1
8452,0
8453,0
8454,0
8455,0
8456,1
8457,0
8458,0
8459,0
8460,0
8461,0
8462,1
8463,0
8464,0
8465,1
8466,0
8467,0
8468,0
8469,0
8470,0
8471,0
8472,0
8473,1
8474,1
8475,0
8476,0
8477,0
8478,0
8479,1
8480,0
8481,0
8482,0
8483,1
8484,1
8485,0
8486,0
8487,1
8488,1
8489,0
8490,0
8491,0
8492,0
8493,0
8494,0
8495,1
8496,0
8497,0
8498,0
8499,0
8500,0
8501,0
8502,1
8503,0
8504,0
8505,0
8506,0
8507,0
8508,0
8509,0
8510,0
8511,1
8512,1
8513,0
8514,0
8515,0
8516,0
8517,1
8518,1
8519,0
8520,1
8521,1
8522,0
8523,0
8524,0
8525,0
8526,0
8527,1
8528,0
8529,0
8530,0
8531,0
8532,1
8533,0
8534,1
8535,0
8536,0
8537,1
8538,0
8539,1
8540,0
8541,0
8542,1
8543,0
8544,0
8545,0
8546,0
8547,0
8548,0
8549,0
8550,0
8551,0
8552,0
8553,0
8554,1
8555,0
8556,0
8557,1
8558,1
8559,1
8560,0
8561,0
8562,1
8563,0
8564,0
8565,0
8566,0
8567,0
8568,0
8569,1
8570,1
8571,0
8572,0
8573,0
8574,0
8575,1
8576,0
8577,1
8578,0
8579,0
8580,0
8581,1
8582,0
8583,1
8584,0
8585,0
8586,0
8587,0
8588,0
8589,1
8590,1
8591,0
8592,0
8593,0
8594,0
8595,1
8596,0
8597,0
8598,0
8599,0
8600,1
8601,1
8602,0
8603,0
8604,0
8605,0
8606,0
8607,1
8608,0
8609,0
8610,0
8611,0
8612,0
8613,0
8614,1
8615,0
8616,0
8617,1
8618,0
8619,0
8620,1
8621,0
8622,0
8623,0
8624,0
8625,0
8626,0
8627,1
8628,1
8629,0
8630,0
8631,0
8632,0
8633,0
8634,1
8635,0
8636,1
8637,0
8638,0
8639,0
8640,1
8641,0
8642,0
8643,0
8644,0
8645,0
8646,0
8647,0
8648,0
8649,0
8650,0
8651,0
8652,0
8653,0
8654,1
8655,0
8656,0
8657,1
8658,0
8659,0
8660,0
8661,0
8662,0
8663,1
8664,0
8665,0
8666,1
8667,0
8668,0
8669,0
8670,1
8671,1
8672,0
8673,0
8674,1
8675,0
8676,1
8677,1
8678,0
8679,0
8680,0
8681,0
8682,1
8683,0
8684,0
8685,1
8686,1
8687,0
8688,1
8689,1
8690,1
8691,0
8692,0
8693,0
8694,1
8695,0
8696,1
8697,1
8698,0
8699,0
8700,0
8701,1
8702,0
8703,1
8704,1
8705,0
8706,1
8707,0
8708,0
8709,0
8710,0
8711,0
8712,1
8713,0
8714,1
8715,0
8716,1
8717,1
8718,0
8719,1
8720,0
8721,0
8722,0
8723,0
8724,1
8725,0
8726,0
8727,1
8728,0
8729,0
8730,0
8731,0
8732,0
8733,0
8734,0
8735,0
8736,1
8737,0
8738,1
8739,1
8740,0
8741,1
8742,0
8743,0
8744,1
8745,0
8746,1
8747,1
8748,1
8749,0
8750,0
8751,0
8752,1
8753,1
8754,1
8755,1
8756,0
8757,0
8758,1
8759,0
8760,0
8761,0
8762,0
8763,0
8764,0
8765,0
8766,0
8767,1
8768,0
8769,0
8770,0
8771,1
8772,1
8773,0
8774,0
8775,0
8776,0
8777,0
8778,0
8779,1
8780,0
8781,1
8782,1
8783,1
8784,1
8785,0
8786,0
8787,0
8788,1
8789,1
8790,0
8791,1
8792,0
8793,0
8794,0
8795,1
8796,1
8797,0
8798,0
8799,0
8800,0
8801,1
8802,1
8803,0
8804,0
8805,0
8806,0
8807,0
8808,0
8809,0
8810,1
8811,1
8812,0
8813,0
8814,1
8815,0
8816,0
8817,0
8818,0
8819,0
8820,0
8821,1
8822,0
8823,0
8824,0
